ENSEMBL,ENTREZID,SYMBOL,DZQV_Plasmablasts,X925L_Plasmablasts,X9JD4_Plasmablasts,G4YW_Plasmablasts,DZQV_B_naive,X925L_B_naive,X9JD4_B_naive,G4YW_B_naive
ENSG00000157510,134265,AFAP1L1,0.0333496,0.0166371,0.0634422,0,0.160699,0.127654,0.196789,0.105734
ENSG00000164284,134266,GRPEL2,3.10959,1.796568101,3.502770506,3.215201821,2.73815816,5.94504,6.22638,6.39155
ENSG00000253618,106144529,GRPEL2-AS1,1.58599,0.827139,1.56625,2.57155,0.598885,0.525744,0,2.22178
ENSG00000145882,78991,PCYOX1L,1.3346653,1.521192,1.877159,2.909434364,5.819661,6.360082,5.717076486,9.641636
ENSG00000127743,27190,IL17B,0,0,0,0.44953,0,0,1.87543,0.263115
ENSG00000284182,406935,MIR143,0,0,0,0,0,0,0,0
ENSG00000276365,406937,MIR145,0,0,0,0,0,0,0,0
ENSG00000113712,1452,CSNK1A1,67.91857,57.514556,73.06699,84.27308542,151.25372,149.0834501,154.27368,110.62697
ENSG00000183111,389337,ARHGEF37,0.787061,0.737159,0.2133184,1.299158,1.58606,4.438954,1.77813,1.16622
ENSG00000155846,133522,PPARGC1B,1.621553,2.849269,2.885690874,2.6115476,1.359266,1.780885,2.6818,0.598775
ENSG00000199047,494327,MIR378A,0,0,0,0,7.18027,0,0,0
ENSG00000132915,5145,PDE6A,0.174247,0.210814,0.280067,0.408097,1.1729,1.317945,2.0080482,1.258575
ENSG00000155850,1836,SLC26A2,1.65733,0.890364,1.99798,2.985332,6.56742,1.705147,5.25897,4.345637
ENSG00000164296,81789,TIGD6,0.6314448,1.817946,0.925905,1.0016141,3.178319,3.1387337,0.7128903,4.1393
ENSG00000113716,22993,HMGXB3,8.430511,7.978494,12.601379,10.224441,14.48323,20.282766,15.448185,9.704714
ENSG00000182578,1436,CSF1R,5.355014,1.483291,2.38341,5.114947,62.985043,22.695326,16.040831,36.849847
ENSG00000113721,5159,PDGFRB,0.00758706,0,0,0,3.525454,0,0.791869,2.442653
ENSG00000113722,1044,CDX1,0,0,0,0,0,0,0,0
ENSG00000011083,6534,SLC6A7,0,0,0,0,0,0,0,0
ENSG00000070808,815,CAMK2A,0.0956228,0.0399799,0.1239452,0,0.360871,0.3270835,0.4292082,0.2693668
ENSG00000183876,340075,ARSI,0,0,0,0,0,0,0,0
ENSG00000070814,6949,TCOF1,9.8745278,7.79917215,8.738034001,7.527486,44.470759,89.769883,81.061918,46.797103
ENSG00000019582,972,CD74,1164.35212,1385.94178,848.740144,878.551462,19863.36644,11328.4002,17567.10232,18950.74842
ENSG00000164587,6208,RPS14,93.102299,169.587782,183.847323,154.415192,271.625569,878.29988,454.20065,465.82373
ENSG00000254333,102546298,NDST1-AS1,0,0,0,0,0,0,0,0
ENSG00000070614,3340,NDST1,2.752887,3.317201,4.301077,5.547354,5.535499,4.095538,6.161401,3.864328
ENSG00000171992,11346,SYNPO,0.0502621,0.0839649,0.07964,0.192579,2.344447,3.374785,3.39905,3.420274
ENSG00000164591,91977,MYOZ3,0.0281371,0.0858021,0.0486336,0.059506,0.32406,0.35489,0.100101,0.105656
ENSG00000086589,55696,RBM22,31.44464,22.607531,29.347291,23.448029,113.765716,80.41868405,102.9918,71.892483
ENSG00000132912,51164,DCTN4,9.897768011,10.317975,20.8469411,10.641467,36.306046,47.084825,48.956354,52.946842
ENSG00000256235,85027,SMIM3,0,0.333244,0.476484,0.557582,7.75465,0.821726,1.17266,2.05714
ENSG00000237693,345611,IRGM,0.0884359,0,0.0758591,0.108705,2.333532,0.500881,1.552838,1.157819
ENSG00000145908,91975,ZNF300,0,0.382937,1.533137938,0.35067681,12.0750195,10.08225844,14.641,9.195061514
