ENSEMBL,ENTREZID,SYMBOL,DZQV_CD8_naive,X925L_CD8_naive,X9JD4_CD8_naive,G4YW_CD8_naive,DZQV_B_naive,X925L_B_naive,X9JD4_B_naive,G4YW_B_naive
ENSG00000125900,128646,SIRPD,0,0.871639,1.974975,0,2.225762,0,1.49417,0.806901
ENSG00000101307,10326,SIRPB1,22.1633715,19.15995,25.23271,16.163367,68.814068,7.563953581,3.817937,23.935185
ENSG00000089012,55423,SIRPG,213.38381,139.053517,166.74617,178.24863,0,0,0,0.175182
ENSG00000237914,101929010,SIRPG-AS1,7.37371,14.14142,20.17664,40.4843,0,0.209007,0.260403,0.0459269
ENSG00000232528,100289473,LOC100289473,0.356585,0.981348,0.753648,0,1.779346,1.338648,0,1.32122
ENSG00000198053,140885,SIRPA,0,0.112373,0.0342025,0,8.53126,3.431952,3.80013,5.389751
ENSG00000233896,727993,PDYN-AS1,0,0,0,0,0.345358,0,0.125265,0
ENSG00000101327,5173,PDYN,0,0,0,0,0,0,0,0
ENSG00000125834,140901,STK35,5.13246,4.86543,5.03118,3.984711,3.08577,7.71649,5.54512,3.17088
ENSG00000125780,7053,TGM3,0,0,0,0,0,0,0,0
ENSG00000166948,343641,TGM6,0,0,0,0,0,0,0.255602,0
ENSG00000125835,6628,SNRPB,116.21314,67.64166,120.4982,76.11251,117.03036,83.903221,96.24851,134.46912
ENSG00000088876,79175,ZNF343,12.92613,12.47465,17.006423,10.38306001,20.16459,15.60489,27.60834,17.7646
ENSG00000149488,117532,TMC2,2.34224,1.46449,1.41699,1.08636,1.11165,1.329,1.8773,1.91921
ENSG00000101361,10528,NOP56,218.087375,209.619462,229.48355,188.24622,137.61434,136.751781,182.629804,149.3506169
ENSG00000284481,100302138,MIR1292,0,0,0,0,0,0,0,0
ENSG00000221116,692213,SNORD110,0,0,0,0,26.0466,26.7309,0,4.02795
ENSG00000271798,677831,SNORA51,0,5.15334,16.3102,27.7915,21.7764,15.0498,16.1237,17.1171
ENSG00000212498,692201,SNORD86,0,0,0,0,0,0,0,0
ENSG00000229686,26793,SNORD56,0,0,0,0,0,0,0,0
ENSG00000226572,26792,SNORD57,0,0,0,0,0,0,0,0
ENSG00000101365,3420,IDH3B,372.72038,272.89067,235.30495,239.105643,235.58025,166.18976,220.110434,204.34694
ENSG00000088881,57593,EBF4,1.36573,1.22146,0.07362,0.598163,0.612801,0,0.788985,0.148819
ENSG00000088882,56265,CPXM1,0,0.48109,3.39028,1.61573,0.905211,0,0.136893,0
ENSG00000258713,128653,C20orf141,0,0,0,0,0,0,0,0
ENSG00000198326,100288797,TMEM239,0.182595,0.203328,0.0610464,0.265312,0.133102,0.321744,0.239832,0.308752
ENSG00000132635,64773,PCED1A,26.16391,32.45478,45.34132,59.0774,25.52808,22.44415,25.11516,32.24552
ENSG00000215305,64601,VPS16,60.69047002,74.75868698,70.23947,63.65477,52.48307,52.029,47.80129,44.37838
ENSG00000132670,5786,PTPRA,12.738055,49.24148208,42.75855052,29.854046,6.70419,35.963317,26.34271005,22.9190255
ENSG00000125787,2797,GNRH2,0,1.95582,0.583202,0,0,1.362983,1.29056,0
ENSG00000125901,64949,MRPS26,12.0927,17.5263,51.584,28.3566,33.3288,14.3828,29.8395,38.3017
ENSG00000101405,5020,OXT,0,0,0.353843,0.323808,1.88174,0.992489,0.337666,1.10643
ENSG00000101200,551,AVP,0,0,0,0,0,0,0,0
ENSG00000235958,100134015,UBOX5-AS1,1.17235,8.17694,0.890757,0.428248,1.12006,2.61521,0.954994,0.877593
ENSG00000185019,22888,UBOX5,12.18009,15.51272,8.7557,10.73129,8.78092,5.524989,5.82859,6.14867
ENSG00000215251,60493,FASTKD5,52.0121,49.5997,22.6882,31.8693,30.3418,27.7093,16.7557,18.2511
ENSG00000088899,9762,LZTS3,1.09191,0.498757,0.4938784,0.642525,0.113764,0.0251221,0.361564,0
ENSG00000198171,65992,DDRGK1,9.108385,32.14841,32.97671,59.24274,7.02557,35.0147,30.30232,40.47851
ENSG00000125877,3704,ITPA,48.17331,52.72284,61.580323,53.3747331,71.26747347,42.1291367,48.7881087,58.9794628
ENSG00000088836,83959,SLC4A11,0.156184,0,0.54901,0.81392,0,1.771143,0,0
ENSG00000088854,25943,C20orf194,2.229761,3.65798,1.445886,3.906603,5.661063,7.51055,3.825719,2.894755
ENSG00000088812,8455,ATRN,5.68351,9.05148,10.69437,8.26107,5.642725,9.32218,6.509,7.05446
ENSG00000125861,64096,GFRA4,0,0,0,0,0,0,0,0
ENSG00000149451,80332,ADAM33,0.352022,0.167793,0.0495342,0.0899208,0.206292,0.353177,0.0466434,0.149088
ENSG00000088827,6614,SIGLEC1,0,0,0,0.0291556,14.30502,0.933436,0.771872,1.208049
ENSG00000132622,116835,HSPA12B,0.643814,0.499039,0.264003,0.305877,0,0.449228,0.142063,0.0379562
ENSG00000101220,54976,C20orf27,23.12138,12.09672004,26.96524,20.975911,22.93961,15.354198,17.53082,24.798261
ENSG00000101222,25876,SPEF1,0,0.510832,0,0.348704,0,0.769797,0,0.5646197
ENSG00000125817,1059,CENPB,0.913906,0.531296,1.56562,0.7236,1.65883,0.625396,1.17204,1.98023
ENSG00000101224,994,CDC25B,85.579867,99.94656,115.590776,88.965894,31.43247717,39.238382,57.4186,34.28989001
ENSG00000275491,101929125,LINC01730,9.01981,4.41371,3.52934,3.66579,0.352437,1.39813,0.318391,0.171767
ENSG00000125843,55317,AP5S1,8.54186,4.048126257,6.961206,6.84606,9.67413,2.408947,10.46026012,3.680849
ENSG00000088888,57506,MAVS,18.7818,26.82168,13.90194,16.65309,12.28573,19.32571,13.576254,11.294
ENSG00000125779,80025,PANK2,5.66149,17.54061,14.32,9.12218,8.45145,10.067403,9.537784,11.169431
