Antibody_name,donor,Pf_exposure,IGHV,IGHD,IGHJ,light,IGKV_IGLV,IGKJ_IGLJ,IGHC,cluster_id,IGHV_SHM,IGKV_IGLV_SHM,KQPA_AUC,NPDP_AUC,NVD_AUC,NANP_AUC,CCSP_AUC,Pf_inhibition
L1471x4130,D71,III,3-33,4-11,6,kappa,3-20,2,IGHM,33,7,2,1.8,2.1,7.1,13.4,11.2,90.5
L1471x4059,D71,III,3-33,2-21,4,kappa,3-11,1,IGHA1,32,8,5,1.3,1.4,1.3,9,10.2,59.6
L1471x4074,D71,III,3-33,2-21,4,kappa,3-11,1,IGHM,32,1,1,1.2,1.4,1.3,6.7,8.9,51.6
L1471x3922,D71,III,3-33,1-1,5,kappa,3-11,2,IGHM,31,2,3,1.6,1.8,2,11.5,1.3,79.7
L1471x3978,D71,III,3-33,5-24,6,kappa,2-24,2,IGHG1,29,5,2,1.5,1.5,1.5,9.6,1.1,57.8
L1471x4310,D71,C,3-33,2-15,4,kappa,1-5,1,IGHG1,27,0,2,1.7,4.7,11.4,13.5,1.4,100
L1471x3965,D71,III,3-33,2-15,4,kappa,1-5,1,IGHG1,27,0,2,2.4,5.9,11.4,11.9,1.3,96.5
L1471x3659,D71,II,3-30,2-2,4,lambda,3-21,3,IGHM,26,7,5,1.8,1.4,1.5,11,1.1,84.6
L1471x3865,D71,III,3-30,4-17,3,kappa,3-20,2,IGHM,25,3,1,2.6,2.1,1.9,11.6,1.8,80.8
L1471x3921,D71,III,3-30,4-17,3,kappa,3-20,2,IGHM,25,5,1,3,2.3,2.9,11.3,1.7,74.1
L1471x4087,D71,III,3-30,4-17,3,kappa,3-20,2,IGHG3,25,3,1,2.8,2.5,2.4,13.5,2,80.9
L1471x4115,D71,III,3-30,4-17,3,kappa,3-20,2,IGHG1,25,4,1,3.6,3.6,3.2,13.3,2.5,86.2
L1471x4239,D71,C,3-23,6-13,3,kappa,3-20,1,IGHM,16,15,5,1.7,2.1,2.1,0.6,3.6,36.5
L1471x4467,D71,C,3-23,6-13,3,kappa,3-20,1,IGHM,16,14,5,1.3,1.4,2,0.5,2.7,41.6
L1471x4052,D71,III,3-23,6-13,3,kappa,3-20,1,IGHM,16,13,4,2.2,2.3,2.5,0.7,4.1,46.2
L1471x4267,D71,C,3-23,6-19,4,lambda,1-47,2,IGHM,14,2,0,2.2,13,13.2,12.8,1.7,100
L1471x3426,D71,II,3-23,6-19,4,lambda,1-47,1,IGHM,14,13,7,1.8,11.1,11.2,11.5,1.4,100
L1471x3933,D71,III,3-23,6-19,4,lambda,1-47,1,IGHM,14,15,7,1.8,11.2,11.4,11.7,1.3,97.9
L1471x3726,D71,II,1-2,2-15,4,kappa,2-28,2,IGHG1,2,6,5,1.9,5.4,10.2,0.7,1.5,86.6
L1471x4167,D71,III,1-2,2-15,4,kappa,2-28,2,IGHG1,2,6,5,1.8,7.3,11.5,0.7,1.6,88.5
L1471x4415,D71,C,3-33,1-1,4,kappa,4-1,1,IGHM,0,0,0,0.8,0.8,0.9,9.2,4.2,65.7
L1471x4496,D71,C,3-33,4-17,1,kappa,3-15,3,IGHM,0,0,0,0.7,1,1.1,6.3,9.4,65.7
L1471x4498,D71,C,3-33,3-22,4,kappa,3-11,2,IGHG1,0,9,2,1.4,8.6,11.3,11.4,1.2,93.3
L1471x3269,D71,II,3-33,3-22,4,lambda,2-14,1,IGHM,0,1,3,1.5,1.4,1.4,9.3,3.8,69.9
D0972x1572,D72,II,4-59,3-16,3,kappa,2-28,2,IGHM,32,1,1,1.1,6,10.3,3.7,0.9,81.2
D0972x1765,D72,II,4-59,3-16,3,kappa,2-28,2,IGHM,32,0,0,1.2,7.8,10.4,2.8,1,76.8
D0972x1985,D72,III,4-59,3-16,3,kappa,2-28,2,IGHM,32,3,0,1.3,7.9,10.9,5.4,0.9,74.7
